iter	Passed	Remaining
417	2543	3540
418	2549	3534
419	2555	3529
420	2562	3523
421	2567	3517
422	2574	3511
423	2579	3504
424	2585	3498
425	2591	3491
426	2596	3484
427	2602	3477
428	2608	3471
429	2613	3464
430	2620	3459
431	2626	3453
432	2631	3446
433	2637	3439
434	2642	3432
435	2649	3426
436	2655	3420
437	2660	3414
438	2666	3407
439	2672	3400
440	2678	3395
441	2684	3388
442	2689	3382
443	2695	3375
444	2701	3369
445	2707	3362
446	2712	3355
447	2720	3352
448	2728	3348
449	2734	3341
450	2739	3334
451	2745	3328
452	2751	3322
453	2756	3315
454	2762	3308
455	2767	3301
456	2774	3296
457	2780	3290
458	2785	3283
459	2791	3276
460	2796	3269
461	2802	3264
462	2808	3257
463	2814	3251
464	2820	3245
465	2825	3238
466	2831	3232
467	2837	3225
468	2842	3218
469	2848	3212
470	2854	3206
471	2859	3199
472	2866	3193
473	2872	3187
474	2877	3180
475	2883	3174
476	2889	3168
477	2894	3161
478	2901	3155
479	2906	3148
480	2913	3143
481	2918	3136
482	2924	3129
483	2929	3123
484	2935	3116
485	2940	3110
486	2946	3103
487	2951	3097
488	2959	3092
489	2965	3086
490	2970	3079
491	2976	3072
492	2982	3067
493	2988	3061
494	2994	3055
495	3000	3048
496	3005	3041
497	3011	3035
498	3016	3028
499	3022	3022
500	3029	3016
501	3034	3010
502	3040	3004
503	3047	2998
504	3053	2992
505	3059	2987
506	3066	2982
507	3072	2975
508	3078	2969
509	3085	2964
510	3090	2957
511	3096	2951
512	3102	2945
513	3109	2940
514	3114	2933
515	3120	2926
516	3125	2920
517	3131	2913
518	3137	2907
519	3143	2901
520	3149	2895
521	3155	2889
522	3161	2883
523	3166	2876
524	3172	2870
525	3178	2863
526	3183	2857
527	3189	2850
528	3194	2844
529	3200	2838
530	3205	2831
531	3211	2824
532	3216	2818
533	3221	2811
534	3227	2805
535	3234	2799
536	3240	2793
537	3246	2788
538	3253	2782
539	3259	2776
540	3264	2769
