iter	Logloss
0	0.6264283935
1	0.5770702986
2	0.5337940206
3	0.5104912206
4	0.4908943109
5	0.4750831779
6	0.4646847408
7	0.4536731984
8	0.4448118647
9	0.437405424
10	0.4258724118
11	0.4218139063
12	0.4173661214
13	0.4136208891
14	0.4098802674
15	0.4027943521
16	0.3985514157
17	0.3956489236
18	0.3926962191
19	0.3882028824
20	0.3849012203
21	0.3820322033
22	0.3806913333
23	0.3788746984
24	0.3767169151
25	0.3746178474
26	0.3737821343
27	0.371883614
28	0.3702848771
29	0.367957935
30	0.3650290212
31	0.3633901892
32	0.3629583121
33	0.3581102815
34	0.3568357163
35	0.3541192521
36	0.35213449
37	0.3507459312
38	0.3500564444
39	0.3490429795
40	0.3481371773
41	0.347625889
42	0.3472453565
43	0.346259002
44	0.3451487212
45	0.3447558325
46	0.3443684283
47	0.342788421
48	0.3424876286
49	0.3422004168
50	0.3419178985
51	0.3413091394
52	0.3406261071
53	0.3396961121
54	0.3393657939
55	0.3389704117
56	0.3386078702
57	0.338038797
58	0.3375284917
59	0.3369322398
60	0.3366177507
61	0.3355364333
62	0.3353845598
63	0.3348952834
64	0.3334051925
65	0.3327918831
66	0.3323596073
67	0.3321435784
68	0.3316052892
69	0.3312667909
70	0.3308988803
71	0.3304787972
72	0.3294442732
73	0.3290068825
74	0.3285566851
75	0.3283764665
76	0.327830562
77	0.3276611991
78	0.3267323523
79	0.3262771277
80	0.3259664697
81	0.3256990318
82	0.3244636471
83	0.3237693683
84	0.3234888025
85	0.3233232464
86	0.3224329181
87	0.3222862105
88	0.3210582887
89	0.3200756503
90	0.3193787534
91	0.3191233144
92	0.3173492135
93	0.3170700508
94	0.3169308057
95	0.315949657
96	0.3153447989
97	0.3152022011
98	0.3143900157
99	0.3142482458
100	0.3140669563
101	0.3128617187
102	0.3118660693
103	0.3116191688
104	0.3107969561
105	0.3106754559
106	0.3105772226
107	0.3102837972
108	0.3095825044
109	0.3094639786
110	0.309374106
111	0.3092116794
112	0.3091280923
113	0.308527404
114	0.3078108034
115	0.3077250673
116	0.3076156089
117	0.3071846437
118	0.3066362788
119	0.3065134457
120	0.3061914834
121	0.3055245047
122	0.305398753
123	0.3053187119
124	0.3045978248
125	0.3045171609
126	0.3042515378
127	0.3033012653
128	0.3031061098
129	0.3025553044
130	0.3020521578
131	0.3019766989
132	0.3018993291
133	0.3017968841
134	0.3012268632
135	0.3011527103
136	0.3010830675
137	0.3010112458
138	0.3009395721
139	0.3008683356
140	0.3007959048
141	0.3006974109
142	0.3006272378
143	0.3005588527
144	0.3004917283
145	0.3000556211
146	0.2999929705
147	0.2995549365
148	0.2990271391
149	0.2988748191
150	0.2987612731
151	0.2986963681
152	0.2986323501
153	0.298568607
154	0.2985049313
155	0.2979347192
156	0.2978705148
157	0.297808245
158	0.2970926766
159	0.2964901079
160	0.2964029342
161	0.2958856689
162	0.2954777535
163	0.2954151616
164	0.2953548863
165	0.2952941103
166	0.2952052987
167	0.2951484723
168	0.2950900683
169	0.2950315983
170	0.2949445643
171	0.2948865458
172	0.2948286901
173	0.2938625159
174	0.2938079023
175	0.2937515869
176	0.2936989897
177	0.2936436127
178	0.2935935564
179	0.2934797872
180	0.293401769
181	0.292472595
182	0.2920435684
183	0.2919929059
184	0.291940565
185	0.2914056086
